column, dtype, %missing, n_unique, sample_values
OverallQual_GrLivArea, int64, 0, 1133,[5040 | 19336 | 7572]
TotalSF, int64, 0, 963,[2706 | 2008 | 2742]
OverallQual, int64, 0, 10, [4 | 3 | 6]
GarageCars, int64, 0, 5,[2 | 3 | 1]
OverallCond, int64, 0, 9,[5 | 5 | 5]
LotArea, int64, 0, 1073,[10918 | 5232 | 11885]
TotalBath, float64, 0, 10,[2.0 | 2.0 | 1.0]
KitchenQual, int64, 0, 4,[4 | 3 | 3]
TotalBsmtSF, int64, 0, 721,[2136 | 588 | 1332]
BsmtFinSF1, int64, 0, 637,[552 | 0 | 0]
GarageArea, int64, 0, 441,[299 | 433 | 564]
HouseAge, int64, 0, 122,[49 | 43 | 3]
SaleCondition, object, 0, 6,[Normal | Partial | Normal]
MSZoning, object, 0, 5,[RM | RL | RM]